ZipCode,EstimatedCombinedRate,TaxRegionName
01570,0.0625,"DUDLEY, MA"
01571,0.0625,"DUDLEY, MA"
01581,0.0625,"HOPKINTON, MA"
01583,0.0625,"WORCESTER, MA"
01585,0.0625,"BROOKFIELD, MA"
01586,0.0625,"MILLBURY, MA"
01588,0.0625,"NORTHBRIDGE, MA"
01590,0.0625,"DOUGLAS, MA"
01601,0.0625,"WORCESTER, MA"
01602,0.0625,"WORCESTER, MA"
01603,0.0625,"WORCESTER, MA"
01604,0.0625,"WORCESTER, MA"
01605,0.0625,"WORCESTER, MA"
01606,0.0625,"WORCESTER, MA"
01607,0.0625,"WORCESTER, MA"
01608,0.0625,"WORCESTER, MA"
01609,0.0625,"WORCESTER, MA"
01610,0.0625,"WORCESTER, MA"
01611,0.0625,"WORCESTER, MA"
01612,0.0625,"WORCESTER, MA"
01613,0.0625,"WORCESTER, MA"
01614,0.0625,"WORCESTER, MA"
01615,0.0625,"WORCESTER, MA"
01653,0.0625,"WORCESTER, MA"
01655,0.0625,"WORCESTER, MA"
01701,0.0625,"WAYLAND, MA"
01702,0.0625,"ASHLAND, MA"
01703,0.0625,"FRAMINGHAM, MA"
01704,0.0625,"FRAMINGHAM, MA"
01705,0.0625,"FRAMINGHAM, MA"
01718,0.0625,"ACTON, MA"
01719,0.0625,"ACTON, MA"
01720,0.0625,"CONCORD, MA"
01721,0.0625,"ASHLAND, MA"
01730,0.0625,"LINCOLN, MA"
01731,0.0625,"LINCOLN, MA"
01740,0.0625,"BERLIN, MA"
01741,0.0625,"CARLISLE, MA"
01742,0.0625,"CONCORD, MA"
01745,0.0625,"ASHLAND, MA"
01746,0.0625,"HOLLISTON, MA"
01747,0.0625,"HOPEDALE, MA"
01748,0.0625,"HOLLISTON, MA"
01749,0.0625,"BERLIN, MA"
01752,0.0625,"BERLIN, MA"
01754,0.0625,"MAYNARD, MA"
01756,0.0625,"BLACKSTONE, MA"
01757,0.0625,"HOPEDALE, MA"
01760,0.0625,"DOVER, MA"
01770,0.0625,"ASHLAND, MA"
01772,0.0625,"SOUTHBOROUGH, MA"
01773,0.0625,"CONCORD, MA"
01775,0.0625,"MAYNARD, MA"
01776,0.0625,"MAYNARD, MA"
01778,0.0625,"LINCOLN, MA"
01784,0.0625,"HOPKINTON, MA"
01801,0.0625,"WINCHESTER, MA"
01803,0.0625,"WILMINGTON, MA"
01805,0.0625,"BURLINGTON, MA"
01810,0.0625,"TEWKSBURY, MA"
01812,0.0625,"ANDOVER, MA"
01813,0.0625,"WOBURN, MA"
01815,0.0625,"WOBURN, MA"
01821,0.0625,"TEWKSBURY, MA"
01822,0.0625,"BILLERICA, MA"
01824,0.0625,"CARLISLE, MA"
01825,0.0625,"NORTH READING, MA"
01826,0.0625,"DRACUT, MA"
01827,0.0625,"DUNSTABLE, MA"
01830,0.0625,"GEORGETOWN, MA"
01831,0.0625,"HAVERHILL, MA"
01832,0.0625,"HAVERHILL, MA"
01833,0.0625,"GEORGETOWN, MA"
01834,0.0625,"GEORGETOWN, MA"
01835,0.0625,"HAVERHILL, MA"
01840,0.0625,"LAWRENCE, MA"
01841,0.0625,"LAWRENCE, MA"
01842,0.0625,"LAWRENCE, MA"
01843,0.0625,"ANDOVER, MA"
01844,0.0625,"HAVERHILL, MA"
01845,0.0625,"ANDOVER, MA"
01850,0.0625,"DRACUT, MA"
01851,0.0625,"LOWELL, MA"
01852,0.0625,"LOWELL, MA"
01853,0.0625,"LOWELL, MA"
01854,0.0625,"DRACUT, MA"
01860,0.0625,"MERRIMAC, MA"
01862,0.0625,"CARLISLE, MA"
01863,0.0625,"TYNGSBOROUGH, MA"
01864,0.0625,"NORTH READING, MA"
01865,0.0625,"BILLERICA, MA"
01866,0.0625,"BILLERICA, MA"
01867,0.0625,"NORTH READING, MA"
01876,0.0625,"LOWELL, MA"
01879,0.0625,"DRACUT, MA"
01880,0.0625,"MELROSE, MA"
01885,0.0625,"BOXFORD, MA"
01886,0.0625,"CARLISLE, MA"
01887,0.0625,"NORTH READING, MA"
01888,0.0625,"WOBURN, MA"
01889,0.0625,"NORTH READING, MA"
01890,0.0625,"WINCHESTER, MA"
01899,0.0625,"ANDOVER, MA"
01901,0.0625,"LYNN, MA"
01902,0.0625,"LYNN, MA"
01903,0.0625,"LYNN, MA"
01904,0.0625,"LYNNFIELD, MA"
01905,0.0625,"LYNN, MA"
01906,0.0625,"REVERE, MA"
01907,0.0625,"LYNN, MA"
01908,0.0625,"NAHANT, MA"
01910,0.0625,"LYNN, MA"
01913,0.0625,"AMESBURY, MA"
01915,0.0625,"WENHAM, MA"
01921,0.0625,"BOXFORD, MA"
01922,0.0625,"NEWBURY, MA"
01923,0.0625,"DANVERS, MA"
01929,0.0625,"AMESBURY, MA"
01930,0.0625,"GLOUCESTER, MA"
01931,0.0625,"GLOUCESTER, MA"
01936,0.0625,"HAMILTON, MA"
01937,0.0625,"DANVERS, MA"
01938,0.0625,"ROWLEY, MA"
01940,0.0625,"LYNNFIELD, MA"
01944,0.0625,"MANCHESTER BY THE SEA, MA"
01945,0.0625,"MARBLEHEAD, MA"
01949,0.0625,"DANVERS, MA"
01950,0.0625,"NEWBURY, MA"
01951,0.0625,"NEWBURY, MA"
01952,0.0625,"SALISBURY, MA"
01960,0.0625,"PEABODY, MA"
01961,0.0625,"PEABODY, MA"
01965,0.0625,"BEVERLY, MA"
01966,0.0625,"ROCKPORT, MA"
01969,0.0625,"GEORGETOWN, MA"
01970,0.0625,"LYNN, MA"
01971,0.0625,"SALEM, MA"
01982,0.0625,"WENHAM, MA"
01983,0.0625,"BOXFORD, MA"
01984,0.0625,"WENHAM, MA"
01985,0.0625,"WEST NEWBURY, MA"
02018,0.0625,"HINGHAM, MA"
02019,0.0625,"BELLINGHAM, MA"
02020,0.0625,"BRAINTREE, MA"
02021,0.0625,"NORWOOD, MA"
02025,0.0625,"COHASSET, MA"
02026,0.0625,"BOSTON, MA"
02027,0.0625,"DEDHAM, MA"
02030,0.0625,"DOVER, MA"
02032,0.0625,"NORWOOD, MA"
02035,0.0625,"FOXBOROUGH, MA"
02038,0.0625,"NORFOLK, MA"
02040,0.0625,"SCITUATE, MA"
02041,0.0625,"MARSHFIELD, MA"
02043,0.0625,"HINGHAM, MA"
02044,0.0625,"HINGHAM, MA"
02045,0.0625,"HULL, MA"
02047,0.0625,"SCITUATE, MA"
02048,0.0625,"FOXBOROUGH, MA"
02050,0.0625,"PEMBROKE, MA"
02051,0.0625,"MARSHFIELD, MA"
02052,0.0625,"MEDFIELD, MA"
02053,0.0625,"MEDWAY, MA"
02054,0.0625,"MEDWAY, MA"
02055,0.0625,"SCITUATE, MA"
02056,0.0625,"NORFOLK, MA"
02059,0.0625,"MARSHFIELD, MA"
02060,0.0625,"SCITUATE, MA"
02061,0.0625,"HINGHAM, MA"
02062,0.0625,"NORWOOD, MA"
02065,0.0625,"MARSHFIELD, MA"
02066,0.0625,"NORWELL, MA"
02067,0.0625,"SHARON, MA"
02070,0.0625,"WRENTHAM, MA"
02071,0.0625,"WALPOLE, MA"
02072,0.0625,"SHARON, MA"
02081,0.0625,"NORFOLK, MA"
02090,0.0625,"DOVER, MA"
02093,0.0625,"NORFOLK, MA"
02108,0.0625,"BOSTON, MA"
02109,0.0625,"BOSTON, MA"
02110,0.0625,"BOSTON, MA"
02111,0.0625,"BOSTON, MA"
02112,0.0625,"BOSTON, MA"
02113,0.0625,"BOSTON, MA"
02114,0.0625,"BOSTON, MA"
02115,0.0625,"BOSTON, MA"
02116,0.0625,"BOSTON, MA"
02117,0.0625,"BOSTON, MA"
02118,0.0625,"BOSTON, MA"
02119,0.0625,"BOSTON, MA"
02120,0.0625,"BOSTON, MA"
02121,0.0625,"BOSTON, MA"
02122,0.0625,"BOSTON, MA"
02123,0.0625,"BOSTON, MA"
02124,0.0625,"BOSTON, MA"
02125,0.0625,"BOSTON, MA"
02126,0.0625,"BOSTON, MA"
02127,0.0625,"BOSTON, MA"
02128,0.0625,"BOSTON, MA"
02129,0.0625,"BOSTON, MA"
02130,0.0625,"BOSTON, MA"
02131,0.0625,"BOSTON, MA"
02132,0.0625,"BOSTON, MA"
02133,0.0625,"BOSTON, MA"
02134,0.0625,"BOSTON, MA"
02135,0.0625,"BOSTON, MA"
02136,0.0625,"BOSTON, MA"
02137,0.0625,"BOSTON, MA"
02138,0.0625,"CAMBRIDGE, MA"
02139,0.0625,"CAMBRIDGE, MA"
02140,0.0625,"CAMBRIDGE, MA"
02141,0.0625,"CAMBRIDGE, MA"
02142,0.0625,"CAMBRIDGE, MA"
02143,0.0625,"BOSTON, MA"
02144,0.0625,"CAMBRIDGE, MA"
02145,0.0625,"CAMBRIDGE, MA"
02148,0.0625,"EVERETT, MA"
02149,0.0625,"EVERETT, MA"
02150,0.0625,"BOSTON, MA"
02151,0.0625,"CHELSEA, MA"
02152,0.0625,"REVERE, MA"
02153,0.0625,"SOMERVILLE, MA"
02155,0.0625,"EVERETT, MA"
02156,0.0625,"MEDFORD, MA"
02163,0.0625,"BOSTON, MA"
02169,0.0625,"BRAINTREE, MA"
02170,0.0625,"MILTON, MA"
02171,0.0625,"QUINCY, MA"
02176,0.0625,"MELROSE, MA"
02180,0.0625,"WINCHESTER, MA"
02184,0.0625,"BRAINTREE, MA"
02185,0.0625,"BRAINTREE, MA"
02186,0.0625,"BOSTON, MA"
02187,0.0625,"MILTON, MA"
02188,0.0625,"WEYMOUTH, MA"
02189,0.0625,"HINGHAM, MA"
02190,0.0625,"HINGHAM, MA"
02191,0.0625,"WEYMOUTH, MA"
02196,0.0625,"BOSTON, MA"
02199,0.0625,"BOSTON, MA"
02201,0.0625,"BOSTON, MA"
02203,0.0625,"BOSTON, MA"
02204,0.0625,"CHELSEA, MA"
02205,0.0625,"BOSTON, MA"
02206,0.0625,"CHELSEA, MA"
02210,0.0625,"BOSTON, MA"
02211,0.0625,"BOSTON, MA"
02212,0.0625,"BOSTON, MA"
02215,0.0625,"BOSTON, MA"
02217,0.0625,"BOSTON, MA"
02222,0.0625,"BOSTON, MA"
02238,0.0625,"CAMBRIDGE, MA"
02241,0.0625,"BOSTON, MA"
02269,0.0625,"QUINCY, MA"
02283,0.0625,"BOSTON, MA"
02284,0.0625,"BOSTON, MA"
02293,0.0625,"BOSTON, MA"
02297,0.0625,"BOSTON, MA"
02298,0.0625,"BOSTON, MA"
02301,0.0625,"WEST BRIDGEWATER, MA"
02302,0.0625,"BROCKTON, MA"
02303,0.0625,"BROCKTON, MA"
02304,0.0625,"BROCKTON, MA"
02305,0.0625,"BROCKTON, MA"
02322,0.0625,"AVON, MA"
02324,0.0625,"BRIDGEWATER, MA"
02325,0.0625,"BRIDGEWATER, MA"
02327,0.0625,"PEMBROKE, MA"
